Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkCraftArmorRank4NmDesc,,progression,Perk,New,Crafting Tier: 29-34 for armor. Decrease crafting time by 4%. Armor below quality 41 will no longer degrade on repair.,,Crafting Tier: 29-34 für Rüstung. Verringern Sie Zeit um 4% anfertigt. Rüstung unten Qualität 41 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 29-34 para armadura. Diminuir a elaboração de tempo de 4%. Armadura abaixo qualidade 41 já não degrade no reparo.,Crafting Niveau: 29-34 pour l'armure. Diminution de l'élaboration de temps de 4%. Armure qualité inférieure à la 41 ne sera plus degrade sur la réparation.,Crafting Livello: 29-34 per armatura. Diminuire il tempo di lavorazione del 4%. Armatura di sotto di qualità 41 non sarà più degrado sulla riparazione.,鎧のために41：ティアを作り上げます。 4％の時間を作り上げ減少。品質41以下アーマーリペアにしなくなり劣化。,단계 공예 : 갑옷 41. 4 %의 시간 공예 줄입니다. 수리 품질 (41)가 더 이상 디그레이 아래의 갑옷.,Crafting Poziom: 29-34 do pancerza. Umacnianie zmniejszyć czas 4%. Armor jakości poniżej 41 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 29-34 para armadura. Diminuir a elaboração de tempo de 4%. Armadura abaixo qualidade 41 já não degrade no reparo.,Разработка Tier: 29-34 для брони. Уменьшение времени крафта на 4%. Доспех ниже качества 41 больше не деградирует на ремонт.,Kademe hazırlama: zırh için 41. % 4 kez işçiliği azaltır. tamir üzerinde kalite 41 artık dejenere altında Zırh.,手工艺层：41装甲。减少了4％各具特色的时间。下面装甲修理质量41将不再下降。,手工藝層：41裝甲。減少了4％各具特色的時間。下面裝甲修理質量41將不再下降。,La elaboración Nivel: 29-34 de armadura. Disminuir la elaboración de tiempo en un 4%. Armadura continuación calidad 41 ya no se degradan en la reparación.
perkCraftArmorRank5NmDesc,,progression,Perk,New,Crafting Tier: 35-40 for armor. Decrease crafting time by 5%. Armor below quality 51 will no longer degrade on repair.,,Crafting Tier: 35-40 für Rüstung. Verringern Sie Zeit um 5% anfertigt. Rüstung unten Qualität 51 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 35-40 para armadura. Diminuir a elaboração de tempo de 5%. Armadura abaixo qualidade 51 já não degrade no reparo.,Crafting Niveau: 35-40 pour l'armure. Diminuer le temps de 5 élaboration%. Armure qualité inférieure à la 51 ne sera plus degrade sur la réparation.,Crafting Livello: 35-40 per armatura. Diminuire il tempo di lavorazione del 5%. Armatura di sotto di qualità 51 non sarà più degrado sulla riparazione.,鎧のために51：ティアを作り上げます。 5％の時間を作り上げ減少。品質51以下アーマーリペアにしなくなり劣化。,계층 공예 : 갑옷 (51). 5 %의 시간을 공예 줄입니다. 수리 품질 (51)가 더 이상 디그레이 아래의 갑옷.,Crafting Poziom: 35-40 do pancerza. Zmniejsz umacnianie czas o 5%. Armor jakości poniżej 51 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 35-40 para armadura. Diminuir a elaboração de tempo de 5%. Armadura abaixo qualidade 51 já não degrade no reparo.,Разработка Tier: 35-40 для брони. Уменьшение времени обрабатывая на 5%. Броня ниже качества 51 больше не деградирует на ремонт.,Kademe hazırlama: zırh için 51. % 5 kez işçiliği azaltır. tamir üzerinde kalite 51 artık dejenere altında Zırh.,手工艺层：51装甲。减少了5％各具特色的时间。下面装甲修理质量51将不再下降。,手工藝層：51裝甲。減少了5％各具特色的時間。下面裝甲修理質量51將不再下降。,La elaboración de tipo: 35-40 para la armadura. Disminuir la elaboración de tiempo en un 5%. Armadura continuación calidad 51 ya no se degradan en la reparación.
perkCraftGunsRank1NmDesc,,progression,Perk,New,Crafting Tier: 5-10 for guns. Decrease crafting time by 1%. Guns below quality 11 will no longer degrade on repair.,,Crafting Tier: 5-10 für Waffen. Verringern Sie Zeit um 1% anfertigt. Guns unter Qualität 11 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 5-10 para armas. Diminuir a elaboração de tempo de 1%. Armas abaixo qualidade 11 já não degrade no reparo.,Crafting Niveau: 5-10 pour les armes. Diminution de l'élaboration de temps de 1%. Obusiers qualité 11 ne sera plus sur la réparation. Degrade,Crafting Livello: 5-10 per le pistole. Diminuire il tempo di lavorazione dell'1%. Pistole di sotto di qualità 11 non sarà più degrado sulla riparazione.,銃のために11：ティアを作り上げます。 1％の時間を作り上げ減少。修理の品質11なくなり劣化以下銃。,총을위한 11 : 계층 공예. 1 %의 시간을 공예 줄입니다. 수리 품질 (11)가 더 이상 디그레이 아래 총.,Tworząc Poziom: 5-10 do pistoletów. Umacnianie zmniejszyć czas 1%. Pistolety jakości poniżej 11 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 5-10 para armas. Diminuir a elaboração de tempo de 1%. Armas abaixo qualidade 11 já não degrade no reparo.,Разработка Tier: 5-10 для пушек. Уменьшение времени выработки на 1%. Пистолеты ниже качества 11 больше не деградирует на ремонт.,silahlar için 11: Tier hazırlama. % 1 bir zaman işçiliği azaltır. tamir üzerinde kalite 11 artık dejenere altında Silahlar.,手工艺层：11枪。减少1％各具特色的时间。以下质量11将不再降级枪支修理。,手工藝層：11槍。減少1％各具特色的時間。以下質量11將不再降級槍支修理。,La elaboración de tipo: 5-10 para armas de fuego. Disminuir la elaboración de tiempo en un 1%. Armas de fuego por debajo de la calidad 11 ya no se degradan en la reparación.
perkCraftGunsRank2NmDesc,,progression,Perk,New,Crafting Tier: 14-19 for guns. Decrease crafting time by 2%. Guns below quality 21 will no longer degrade on repair.,,Crafting Tier: 14-19 für Waffen. Verringern Sie Zeit um 2% anfertigt. Guns unter Qualität 21 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 14-19 para armas. Diminuir a elaboração de tempo de 2%. Armas abaixo qualidade 21 já não degrade no reparo.,Crafting Niveau: 14-19 pour les armes. Diminuer le temps de 2 élaboration%. Obusiers qualité 21 ne sera plus sur la réparation. Degrade,Crafting Livello: 14-19 per le pistole. Diminuire il tempo di lavorazione del 2%. Pistole di sotto di qualità 21 non sarà più degrado sulla riparazione.,銃のために21：ティアを作り上げます。 2％の時間を作り上げ減少。修理の品質21なくなり劣化以下銃。,총 21 : 계층 공예. 2 %의 시간 공예 줄입니다. 수리 품질 (21)가 더 이상 디그레이 아래 총.,Tworząc Poziom: 14-19 dla broni. Umacnianie zmniejszyć czas 2%. Pistolety jakości poniżej 21 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 14-19 para armas. Diminuir a elaboração de tempo de 2%. Armas abaixo qualidade 21 já não degrade no reparo.,Разработка Tier: 14-19 для ружей. Уменьшение времени крафта на 2%. Пистолеты ниже качества 21 больше не деградирует на ремонт.,silahlar için 21: Tier hazırlama. % 2 bir zaman işçiliği azaltır. tamir üzerinde kalite 21 artık dejenere altında Silahlar.,手工艺层：21枪。减少2％各具特色的时间。以下质量21将不再降级枪支修理。,手工藝層：21槍。減少2％各具特色的時間。以下質量21將不再降級槍支修理。,La elaboración de tipo: 14-19 para armas de fuego. Disminuir la elaboración de tiempo en un 2%. Armas de fuego por debajo de la calidad 21 ya no se degradan en la reparación.
perkCraftGunsRank3NmDesc,,progression,Perk,New,Crafting Tier: 22-27 for guns. Decrease crafting time by 3%. Guns below quality 31 will no longer degrade on repair.,,Crafting Tier: 22-27 für Waffen. Verringern Sie Zeit um 3% anfertigt. Guns unter Qualität 31 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 22-27 para armas. Diminuir a elaboração de tempo de 3%. Armas abaixo qualidade 31 já não degrade no reparo.,Crafting Niveau: 22-27 pour les armes. Diminuer le temps de 3 élaboration%. Obusiers qualité 31 ne sera plus sur la réparation. Degrade,Crafting Livello: 22-27 per le pistole. Diminuire il tempo di lavorazione del 3%. Pistole di sotto di qualità 31 non sarà più degrado sulla riparazione.,銃のために31：ティアを作り上げます。 3％の時間を作り上げ減少。修理の品質31なくなり劣化以下銃。,총 31 : 계층 공예. 3 %의 시간 공예 줄입니다. 수리 품질 (31)가 더 이상 디그레이 아래 총.,Crafting Poziom: 22-27 do pistoletów. Umacnianie zmniejszyć czas 3%. Pistolety jakości poniżej 31 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 22-27 para armas. Diminuir a elaboração de tempo de 3%. Armas abaixo qualidade 31 já não degrade no reparo.,Разработка Tier: 22-27 для ружей. Уменьшение времени обрабатывая на 3%. Пистолеты ниже качества 31 больше не деградирует на ремонт.,silahlar için 31: Tier hazırlama. % 3 kez işçiliği azaltır. tamir üzerinde kalite 31 artık dejenere altında Silahlar.,手工艺层：31枪。减少3个各具特色％的时间。以下质量31将不再降级枪支修理。,手工藝層：31槍。減少3個各具特色％的時間。以下質量31將不再降級槍支修理。,La elaboración de tipo: 22-27 para armas de fuego. Disminuir la elaboración de tiempo por 3%. Armas de fuego por debajo de la calidad 31 ya no se degradan en la reparación.
perkCraftGunsRank4NmDesc,,progression,Perk,New,Crafting Tier: 29-34 for guns. Decrease crafting time by 4%. Guns below quality 41 will no longer degrade on repair.,,Crafting Tier: 29-34 für Waffen. Verringern Sie Zeit um 4% anfertigt. Guns unter Qualität 41 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 29-34 para armas. Diminuir a elaboração de tempo de 4%. Armas abaixo qualidade 41 já não degrade no reparo.,Crafting Niveau: 29-34 pour les armes. Diminution de l'élaboration de temps de 4%. Obusiers qualité 41 ne sera plus sur la réparation. Degrade,Crafting Livello: 29-34 per le pistole. Diminuire il tempo di lavorazione del 4%. Pistole di sotto di qualità 41 non sarà più degrado sulla riparazione.,銃のために41：ティアを作り上げます。 4％の時間を作り上げ減少。修理の品質41なくなり劣化以下銃。,총 41 : 단계 공예. 4 %의 시간 공예 줄입니다. 수리 품질 (41)가 더 이상 디그레이 아래 총.,Crafting Poziom: 29-34 do pistoletów. Umacnianie zmniejszyć czas 4%. Pistolety jakości poniżej 41 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 29-34 para armas. Diminuir a elaboração de tempo de 4%. Armas abaixo qualidade 41 já não degrade no reparo.,Разработка Tier: 29-34 для ружей. Уменьшение времени крафта на 4%. Пистолеты ниже качества 41 больше не деградирует на ремонт.,silahlar için 41: Kademe hazırlama. % 4 kez işçiliği azaltır. tamir üzerinde kalite 41 artık dejenere altında Silahlar.,手工艺层：41枪。减少了4％各具特色的时间。以下质量41将不再降级枪支修理。,手工藝層：41槍。減少了4％各具特色的時間。以下質量41將不再降級槍支修理。,La elaboración de tipo: 29-34 para armas de fuego. Disminuir la elaboración de tiempo en un 4%. Armas de fuego por debajo de la calidad 41 ya no se degradan en la reparación.
perkCraftGunsRank5NmDesc,,progression,Perk,New,Crafting Tier: 35-40 for guns. Decrease crafting time by 5%. Guns below quality 51 will no longer degrade on repair.,,Crafting Tier: 35-40 für Waffen. Verringern Sie Zeit um 5% anfertigt. Guns unter Qualität 51 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 35-40 para armas. Diminuir a elaboração de tempo de 5%. Armas abaixo qualidade 51 já não degrade no reparo.,Crafting Niveau: 35-40 pour les armes. Diminuer le temps de 5 élaboration%. Obusiers qualité 51 ne sera plus sur la réparation. Degrade,Crafting Livello: 35-40 per le pistole. Diminuire il tempo di lavorazione del 5%. Pistole di sotto di qualità 51 non sarà più degrado sulla riparazione.,銃のために51：ティアを作り上げます。 5％の時間を作り上げ減少。修理の品質51なくなり劣化以下銃。,총 51 : 계층 공예. 5 %의 시간을 공예 줄입니다. 수리 품질 (51)가 더 이상 디그레이 아래 총.,"Tworząc kondygnacji: 35-40, do broni. Zmniejsz umacnianie czas o 5%. Pistolety jakości poniżej 51 nie będzie już ulegają degradacji na naprawy.",Crafting Nível: 35-40 para armas. Diminuir a elaboração de tempo de 5%. Armas abaixo qualidade 51 já não degrade no reparo.,Разработка Tier: 35-40 для пушек. Уменьшение времени обрабатывая на 5%. Пистолеты ниже качества 51 больше не деградирует на ремонт.,silahlar için 51: Kademe hazırlama. % 5 kez işçiliği azaltır. tamir üzerinde kalite 51 artık dejenere altında Silahlar.,手工艺层：51枪。减少了5％各具特色的时间。以下质量51将不再降级枪支修理。,手工藝層：51槍。減少了5％各具特色的時間。以下質量51將不再降級槍支修理。,La elaboración de tipo: 35-40 para armas de fuego. Disminuir la elaboración de tiempo en un 5%. Armas de fuego por debajo de la calidad 51 ya no se degradan en la reparación.
perkCraftScienceRank1NmDesc,,progression,Perk,New,Crafting Tier: 5-10 for vehicles. Unlocks T1 mod crafting. Decrease crafting time by 1%,,Freischaltungen T1 mod anfertigt. Verringern Crafting Zeit um 1%,Desbloqueia T1 mod elaboração. Diminuir o tempo de elaboração por 1%,Déverrouille T1 mod artisanat. Diminuer le temps d'artisanat de 1%,Sblocca T1 mod lavorazione. Diminuire il tempo di lavorazione da 1%,アンロックT1はクラフト国防省。 1％で作り上げる時間を短縮,잠금 해제 T1은 공예 모드. 1 %에 의해 공예 시간을 감소,Unlocków T1 mod craftingu. Skrócenie czasu crafting 1%,Desbloqueia T1 mod elaboração. Diminuir o tempo de elaboração por 1%,Отпирает Т1 мод крафта. Уменьшение времени крафта на 1%,Kilitlenmesi T1 işçiliği mod. % 1 işçiliği süresini azaltmak,解锁T1国防部起草。减少1％各具特色时间,解鎖T1國防部起草。減少1％各具特色時間,Desbloquea T1 mod elaboración. Reducir el tiempo de la elaboración de un 1%
perkCraftScienceRank2NmDesc,,progression,Perk,New,Crafting Tier: 14-19 for vehicles. Decrease crafting time by 2%,,Verringern Sie Crafting Zeit um 2%,Diminuir o tempo de elaboração por 2%,Diminuer le temps d'artisanat de 2%,Diminuire il tempo di lavorazione del 2%,2％で作り上げる時間を短縮,2 % 공예 시간을 감소,Skrócenie czasu crafting 2%,Diminuir o tempo de elaboração por 2%,Уменьшение времени крафта на 2%,% 2 işçiliği süresini azaltmak,通过2％减少各具特色时间,通過2％減少各具特色時間,Reducir el tiempo de la elaboración de un 2%
perkCraftScienceRank3NmDesc,,progression,Perk,New,Crafting Tier: 22-27 for vehicles. Unlocks T2 mod crafting. Decrease crafting time by 3%,,Unlocks T2 mod anfertigt. Verringern Sie Crafting Zeit um 3%,Desbloqueia T2 mod elaboração. Diminuir o tempo de elaboração por 3%,Déverrouille T2 mod artisanat. Diminuer le temps d'artisanat de 3%,Sblocca T2 mod lavorazione. Diminuire il tempo di lavorazione del 3%,アンロックT2はクラフト国防省。 3％で作り上げる時間を短縮,잠금 해제 T2는 공예 모드. 3 % 공예 시간을 감소,Unlocków T2 mod craftingu. Skrócenie czasu crafting 3%,Desbloqueia T2 mod elaboração. Diminuir o tempo de elaboração por 3%,Отпирает Т2 мод крафта. Уменьшение времени крафта на 3%,Kilitlenmesi T2 işçiliği mod. % 3 oranında işçiliği süresini azaltmak,解锁T2国防部起草。通过降低3％起草时间,解鎖T2國防部起草。通過降低3％起草時間,Desbloquea T2 mod elaboración. Reducir el tiempo de la elaboración de un 3%
perkCraftScienceRank4NmDesc,,progression,Perk,New,Crafting Tier: 29-34 for vehicles. Decrease crafting time by 4%,,Verringern Crafting Zeit um 4%,Diminuir o tempo de elaboração por 4%,Diminuer le temps d'artisanat de 4%,Diminuire il tempo di lavorazione del 4%,4％で作り上げる時間を短縮,4 % 공예 시간을 감소,Skrócenie czasu crafting 4%,Diminuir o tempo de elaboração por 4%,Уменьшение времени крафта на 4%,% 4 işçiliği süresini azaltmak,由4％减少各具特色时间,由4％減少各具特色時間,Reducir el tiempo de la elaboración de un 4%
perkCraftScienceRank5NmDesc,,progression,Perk,New,Crafting Tier: 35-40 for vehicles. Unlocks T3 mod crafting. Decrease crafting time by 5%,,Unlocks T3 mod anfertigt. Verringern Sie Crafting Zeit um 5%,Desbloqueia T3 mod elaboração. Diminuir o tempo de elaboração por 5%,Déverrouille T3 mod artisanat. Diminution du temps d'artisanat de 5%,Sblocca T3 mod lavorazione. Diminuire il tempo di lavorazione del 5%,アンロックT3はクラフト国防省。 5％作り上げる時間を短縮,잠금 해제 T3는 공예 모드. 5 % 공예 시간을 감소,Unlocków T3 mod craftingu. Skrócić czas crafting o 5%,Desbloqueia T3 mod elaboração. Diminuir o tempo de elaboração por 5%,Отпирает T3 мод крафта. Уменьшение времени крафта на 5%,Kilitlenmesi T3 işçiliği mod. % 5 işçiliği süresini azaltmak,解锁T3国防部起草。由5％减少起草时间,解鎖T3國防部起草。由5％減少起草時間,Desbloquea T3 mod elaboración. Reducir el tiempo de la elaboración de un 5%
perkCraftToolsRank1NmDesc,,progression,Perk,New,Crafting Tier: 5-10 for tools. Decrease crafting time by 1%. Tools below quality 11 will no longer degrade on repair.,,Crafting Tier: 5-10 für Werkzeuge. Verringern Sie Zeit um 1% anfertigt. Werkzeuge unter Qualität 11 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 5-10 para ferramentas. Diminuir a elaboração de tempo de 1%. Ferramentas abaixo qualidade 11 já não degrade no reparo.,Crafting Niveau: 5-10 outils. Diminution de l'élaboration de temps de 1%. Outils ci-dessous la qualité 11 ne sera plus sur la réparation. Degrade,Crafting Livello: 5-10 per gli utensili. Diminuire il tempo di lavorazione dell'1%. Strumenti di sotto di qualità 11 non sarà più degrado sulla riparazione.,ツールのための11：ティアを作り上げます。 1％の時間を作り上げ減少。修理の品質11なくなり劣化以下のツール。,(11) 도구 : 계층 공예. 1 %의 시간을 공예 줄입니다. 수리 품질 (11)가 더 이상 디그레이 아래 도구.,Crafting Poziom: 5-10 narzędzi. Umacnianie zmniejszyć czas 1%. Narzędzia jakości poniżej 11 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 5-10 para ferramentas. Diminuir a elaboração de tempo de 1%. Ferramentas abaixo qualidade 11 já não degrade no reparo.,Разработка Tier: 5-10 для инструментов. Уменьшение времени выработки на 1%. Инструменты ниже качества 11 больше не деградирует на ремонт.,11 araçları için: Tier hazırlama. % 1 bir zaman işçiliği azaltır. tamir üzerinde kalite 11 artık dejenere aşağıda araçlar.,手工艺层：11的工具。减少1％各具特色的时间。下面的工具对修理质量11将不再下降。,手工藝層：11的工具。減少1％各具特色的時間。下面的工具對修理質量11將不再下降。,La elaboración Nivel: 5-10 para herramientas. Disminuir la elaboración de tiempo en un 1%. Herramientas debajo de la calidad 11 ya no se degradan en la reparación.
